Year,Value
2009,4.192204
2010,17.989284
2011,334.771863
2012,1991.6887185
2013,9230.5821225
2014,20574.659818
2015,39032.490372500004
2016,75025.6743345
2017,123433.25036199999
2018,174270.308688
2019,227889.125159
2020,285527.980825
2021,352827.813861
2022,414483.675202
2023,457759.999909
