Year,Price
2009,48.0
2010,50.0
2011,50.0
2012,50.0
2013,51.67
2014,53.33
2015,55.0
2016,56.67
2017,58.33
2018,60.0
2019,61.67
2020,63.33
2021,65.0
2022,66.67
2023,68.33
