Year,Price
2009,40.0
2010,40.0
2011,40.0
2012,40.0
2013,41.67
2014,43.33
2015,45.0
2016,45.83
2017,48.33
2018,50.0
2019,51.67
2020,53.33
2021,55.0
2022,56.67
2023,58.33
