Year,Price
2009,99.69
2010,104.67
2011,109.9
2012,110.2
2013,117.4
2014,123.2
2015,128.3
2016,135.2
2017,141.3
2018,146.9
2019,157.36
2020,161.14
2021,178.0
2022,151.95
2023,157.55
