Year,Price
2009,0.126
2010,0.094
2011,0.07
2012,0.06
2013,0.053
2014,0.045
2015,0.037
2016,0.035
2017,0.032
2018,0.024
2019,0.02
2020,0.017
2021,0.015
2022,0.017
2023,0.015
